Country,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Switzerland,Zurich,103.8,59.3,84.1,103.2,104.1,158.3
Switzerland,Lausanne,100.9,42.9,75.2,105.9,101.6,157.0
Switzerland,Geneva,100.7,56.4,81.1,104.6,107.2,161.4
Switzerland,Basel,98.0,43.1,73.7,103.9,102.9,176.9
Switzerland,Bern,95.0,33.2,67.6,98.8,87.6,160.1
Germany,Munich,65.9,37.7,53.4,58.0,67.1,117.0
Germany,Hamburg,63.1,27.5,47.4,57.9,66.7,130.5
Germany,Frankfurt,61.8,30.0,47.8,57.6,62.4,140.6
Germany,Cologne,61.3,24.8,45.1,59.5,57.5,123.4
Austria,Vienna,61.2,26.2,45.7,62.5,60.5,110.6
Germany,Dusseldorf,60.8,26.3,45.5,57.9,60.8,125.1
Germany,Stuttgart,60.2,27.4,45.7,58.5,61.5,134.9
Germany,Nuremberg,60.0,21.0,42.8,57.2,61.7,137.8
Germany,Berlin,59.6,30.4,46.7,55.1,60.1,121.0
Austria,Graz,59.6,19.2,41.7,60.1,58.3,115.8
Germany,Essen,59.1,16.8,40.4,57.3,55.1,139.3
Germany,Karlsruhe,58.9,23.4,43.2,57.7,56.6,122.1
Germany,Bremen,58.6,18.4,40.8,58.8,56.5,140.2
Germany,Hanover,58.1,20.0,41.2,55.8,58.5,119.9
Germany,Mannheim,58.1,20.7,41.5,58.2,49.5,175.4
Germany,Aachen,57.5,17.9,40.0,55.7,54.6,136.1
Germany,Leipzig,56.4,17.8,39.3,59.0,52.7,119.3
Germany,Dresden,55.9,18.2,39.2,54.6,56.2,136.0
