job_title,city,country,annual_salary
IT Data Analyst (m/w/d) marktführendes Logistik-Unternehmen,Wien,Austria,50500.0
Data Analyst (w/m/x),Wien,Austria,70000.0
Data Analyst (w/m/x),Wien,Austria,70000.0
Berufspraktikum mit Schwerpunkt Data Analytics im Bereich Global Human Resources (w/m/d),Wien,Austria,26754.0
Data Analytics Specialist (m/w/x),Wien,Austria,40000.0
Internal Audit Data Analyst:in,Wien,Austria,54751.0
Data Analyst & Report Developer - Supply Chain Finance Solution (all genders),Wien,Austria,45811.0
Data Analytics Trainee (w/m/d),Wien,Austria,46000.0
Senior eCommerce Data Analyst & Product Owner (f/m/d),Wien,Austria,63000.0
Business Analyst (m/w/x) I Customer Data & Gdpr,Wien,Austria,60000.0
BI Analyst/Data Scientist für Produkt & Marketing (m/w/d),Wien,Austria,52136.0
Internship Data Science - Compliance Advanced Analytics (all genders),Wien,Austria,40685.0
(Senior) Consultant im Bereich SAP Data & Analytics,Wien,Austria,60000.0
Mitarbeiter*in für Förderprozesse & Datenanalyse (all genders),Wien,Austria,45000.0
Support Engineer (w/m/d) – Datenanalyse & Cloudlösungen,Wien,Austria,42000.0
Business Intelligence Analyst (w/m/d),Wien,Austria,55300.0
Mitarbeiter:in (all genders) für unser Risk & Independence Team,Wien,Austria,34860.0
ERP Business Analyst (m/w/d),Wien,Austria,50000.0
Student Support im Bereich Kreditrisikomodelle und Automatisierung (w/m/d),Wien,Austria,35494.0
Consulting für PhysikerIn und MathematikerIn (m/w/d),Wien,Austria,42980.0
Senior Account Analyst (m/w/d),Wien,Austria,75000.0
Analyst - Analytics and Consulting (m/w/d),Wien,Austria,50000.0
Leiter:in Sektorsteuerung,Wien,Austria,73225.0
KI-Governance-Spezialist (w/m/d),Wien,Austria,48323.0
Digital Tranformation Manager (m/w/d),Wien,Austria,55000.0
Front-End Developer (m/f/d),Wien,Austria,54728.0
Pricing Actuary (all genders) Non-Life Insurance,Wien,Austria,45482.0
Senior Auditor (w/m/d),Wien,Austria,75000.0
Business Analyst & Strategic Project Manager,Wien,Austria,45410.0
Senior Frontend Developer (w/m/x),Wien,Austria,56000.0
Junior Specialist Collateral Management *,Wien,Austria,45811.0
Werkstudenten/in KI (m/f/d),Wien,Austria,32886.0
Expert:in im Bereich Compliance / Independence (w/m/d),Wien,Austria,46000.0
Manager:in Financial Services Regulatory & Compliance,Wien,Austria,48997.0
Sales Manager:in Data & AI und Microsoft D365 ERP (m/w/d),Wien,Austria,80000.0
Security Analyst - Tier 2 (all humans),Wien,Austria,53802.0
Expert:in Zielgruppenmanagement  für Privatkunden (w/m/d),Wien,Austria,55000.0
Expert:in Zielgruppenmanagement KMU (w/m/d),Wien,Austria,55000.0
Requirements Engineer/Business Analyst (d/m/w),Wien,Austria,55300.0
Praktikum in der Abteilung Regulatory Reporting (w/m/d),Wien,Austria,35494.0
Partner & Portfolio Manager Specialty Crops (f/m/d),Wien,Austria,84000.0
SEA/Performance Marketing Manager (m/w/d),Wien,Austria,46300.0
Product Manager (m/f/d) Clinical,Wien,Austria,54000.0
AI Adoption Specialist (f/m/d),Wien,Austria,49250.0
Einkaufs- und Kostenmanagement (m/w/d),Wien,Austria,65000.0
Revisor:in im Finanzbereich mit Fokus IT (m/w/d),Wien,Austria,56000.0
Senior Data Scientist (all genders),Wien,Austria,55177.0
Compensation & Benefits Business Partner (m/w/d),Wien,Austria,70000.0
Player Protection Analyst (f/m/d),Wien,Austria,44420.0
Product Owner (m/f/d) U Composer,Wien,Austria,54000.0
Datenschutzbeauftragter (DPO) (m/w/d),Wien,Austria,60000.0
(Senior) Information Security Officer (all genders),Wien,Austria,50000.0
Corporate IT Project Manager (m/f/d),Wien,Austria,59782.0
"(Senior) Associate (w/m/d) Accounting & Capital Markets, Industrial Services",Wien,Austria,42000.0
Group Controller with HR Focus (f/m/d),Wien,Austria,57500.0
Product Owner (m/f/d) Clinical Content,Wien,Austria,54000.0
Associate - SAP Automation and AI,Wien,Austria,46200.0
Senior Group Risk Modelling Specialist (all genders),Wien,Austria,45811.0
Service Operations Lead (m/w/d),Wien,Austria,70000.0
HR Technology Expert (all genders),Wien,Austria,49773.0
Financial Planning & Analysis Controller (m/w/d),Wien,Austria,60000.0
SAP AI & Development Consultant  (m/w/d),Wien,Austria,55000.0
M&A Manager (m/f/d),Wien,Austria,75000.0
(Bilanz-)Buchhalter im Media-Umfeld (m/w/d),Wien,Austria,63000.0
"Industry Analyst (all genders) - Consumer & TMT, Large Corporates",Wien,Austria,42944.0
Senior Commercial Sales and Bid Manager (m/f/d),Wien,Austria,69914.0
Sales Executive* (m/w/d) Banking,Wien,Austria,75000.0
Senior Associate/Manager (w/m/d) in Transfer Pricing,Wien,Austria,52500.0
HR Partner (f/m/x) - hybrid,Wien,Austria,78384.0
Sales Steering Coordinator (f/m/d),Wien,Austria,40600.0
Data Analyst (m/w/d) – BI Specialist,Linz,Austria,60000.0
"Data Analyst:in - Risikomanagement (w/m/d), Vollzeit oder Teilzeit möglich",Linz,Austria,52147.0
Sachbearbeiter im Datenmanagement (m/w/d),Linz,Austria,44800.0
Controller (w/m/d)- Schwerpunkt Produktion,Linz,Austria,53200.0
Junior BI Analyst (w/m/d),Linz,Austria,50400.0
"(Senior) Associate (w/m/d) Accounting & Capital Markets, Industrial Services",Linz,Austria,42000.0
Sales Executive* (m/w/d) Banking,Linz,Austria,75000.0
