title,city,salary
Data-Analyst/in im Controlling (w/m/d),Oldenburg,78000
Data Analyst (m/f/d) Marketing Insights,Düsseldorf,73200
Risk Data Analyst (w/m/d),Düsseldorf,70000
Data Analyst*in im Bereich Strategieentwicklung (in Voll- oder Teilzeit),Frankfurt am Main,75000
AI-Powered Data Analyst (m/f/x),"München, Bayern, Germany (Hybrid); Valencia, Spain (Hybrid)",66000
Data Analyst (m/w/d),Düsseldorf,64000
Data Analyst - SEO,Düsseldorf,69000
Data Analyst Facility Management (m/w/d),Neckarsulm,64000
Data Analyst (m/w/d),Weeze,58000
Data Analyst (m/w/d),Unterföhring bei München,80000
Stammdaten Analyst / Data Manager (m/w/d) Verpackungsmaterialien & BI-Reporting,Unterhaching bei München,94000
Market Data Analyst (m/w/d),Bad Homburg,70000
Data Analyst*in im Investmentdepotgeschäft und Kundenservice (in Voll- oder Teilzeit),Frankfurt am Main,69000
BI Business Analyst / Data Engineer (m/w/d),Münster,73000
Data Scientist / Analyst (m/w/d),Düsseldorf,89000
Data Analyst* / PowerBI Report Builder*,Heek,78000
Data Analyst/in im Bereich Online Shop (m/w/d),Röttenbach,46000
Working Student | Data Analyst - Corporate Audit (m/f/d),München,keine Angabe
Data Analyst im Service Center (m/w/d),Münster,65000
Praktikum Forschung & Entwicklung – Data Analyst & Data Enthusiast in Künzelsau,Künzelsau,keine Angabe
Data Engineer/Scientist/Analyst,Fürth,70000
Data Analyst Customer Service (w/m/d),Lengau,keine Angabe
Power BI Spezialist / Data Analyst (m/w/d) in Bau- und Technikprojekten,Stuttgart,70000
(Senior) Data / Business Analyst (m/w/d),Pforzheim,70000
"Data Engineers, Analysts & Scientists (w|m|d)","Mannheim, München, Nürnberg, Stuttgart",83000
