job_title,city,country,annual_salary
Data Scientist Konditionsgestaltung (m/w/d),Berlin,Germany,82000
Senior Data Scientist / Senior AI Engineer (mwd),Berlin,Germany,83000
Data Scientist (m/w/d) für Technologietrends und Datenstrategie,Berlin,Germany,72000
Senior Data Scientist - Product Analytics,Berlin,Germany,67000
Data Scientist / AI Engineer (mwd),Berlin,Germany,77000
Principal Data Scientist,Berlin,Germany,63000
Senior Marketing Data Scientist (m/w/d),Berlin,Germany,63000
(Mid/Senior) Data Software Engineer (f/m/d),Berlin,Germany,82000
Senior Data Scientist / Senior Analytics Engineer,Berlin,Germany,73000
Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,Berlin,Germany,keine Angabe
Assistant AI/ML Engineering – Flexplace in Germany (m/f/x),Berlin,Germany,78000
AI Consultant – GenAI & NLP Public Sector (m/w/d),Berlin,Germany,90000
(Senior) Consultant Data Strategy & Governance (w/m/d),Berlin,Germany,keine Angabe
Software Engineer / 3D Printing (m/f/d),Berlin,Germany,58000
Staff ML/AI Data Engineer,Berlin,Germany,62000
Associate/mid-level/Senior AI Technology Consultant,Berlin,Germany,64000
Analytics Engineer (m/f/d),Berlin,Germany,65000
Account Director - Germany,Berlin,Germany,69000
GenAI Lead Architekt (m/w/d),Berlin,Germany,64000
(Senior) Machine Learning Engineer,Berlin,Germany,70000
Business Analyst Baufinanzierung / Mortgage Focus (m/w/d),Berlin,Germany,keine Angabe
Senior Machine Learning Research Scientist (m/w/d),Berlin,Germany,70000
Senior Machine Learning Engineer (d/f/m),Berlin,Germany,70000
Senior Data Engineer,Berlin,Germany,70000
Senior Technical Product Manager (all genders),Berlin,Germany,66000
Data Engineer / Data Architect (m/f/x),Berlin,Germany,72000
Referent (m/w/d) Datenanalyse,Berlin,Germany,60000
Data Architect (m/w/d) (Digitization System Operation / Power Grid),Berlin,Germany,95000
Data Engineer* / Machine Learning Engineer*,Berlin,Germany,70000
Business Analyst (d/m/w) – Banking | Data Analytics Personalisierung,Berlin,Germany,75000
Business Analyst (d/m/w) – Data Analytics | Firmenkunden,Berlin,Germany,70000
"Informatiker, Computer Scientist oder erfahrener Fachinformatiker Anwendungsentwicklung o. ä. als Datenbankexperte (m/w/d) T-SQL, MSSQL, Oracle, PostgreSQL, MySQL / MariaDB",Berlin,Germany,74000
IT Analyst / IT Consultant (w/m/d) Citizen Development,Berlin,Germany,70000
System Solutions Engineer,Berlin,Germany,63000
Senior Data Consultant (m/w/d) Transformationsberatung,Berlin,Germany,100000
Senior Data Engineer (f/m/d),Berlin,Germany,87000
Senior Consultant Data Management (w/m/d),Berlin,Germany,keine Angabe
Senior Consultant SAP BW / SAP Analytics (m/w/d),Berlin,Germany,99000
Senior Data Engineer (m/w/d) DWH,Berlin,Germany,84000
Atlassian Solutions Engineer (m/w/d),Berlin,Germany,69000
Senior Scientist/Group Leader (m/f/d) Glycobiology,Berlin,Germany,90000
Computer scientist at X-Visual,Berlin,Germany,62000
PhD Paleoclimate Modelling (m/f/d),Berlin,Germany,78950
Statistiken der EKD,Berlin,Germany,58000
Sales Solutions Engineer (m/w/d),Berlin,Germany,65000
Mitarbeiter Datenanalyse im HomeOffice (m/w/d),Berlin,Germany,51000
Pre-Sales Solutions Engineer,Berlin,Germany,65000
Statistiken der EKD,Berlin,Germany,60000
Senior Machine Learning Research Engineer (m/f/d),Berlin,Germany,67000
Engineer (f_m_x) – Terrestrial hydrogravimetry,Berlin,Germany,5975
Junior research position or post-doctoral position (m/f/d),Berlin,Germany,55000
GCP Data Architect,Berlin,Germany,68000
Sr. Data Engineering Consultant (m/f/d),Berlin,Germany,59000
Computer scientist in application development at X-Visual,Berlin,Germany,62000
