job_title,company_location,job_description,applicants,country,city,job_title_clean,SQL,Python,Spark or Hive,PowerBI,Scikit-learn,Tableau,BigData,ML,ETL,ABtest,Senior,Remote,id,raw_amount,period,annual_salary
DevOps Engineer (m/f/d) – Innovation and Technology Services,"Eggelsberg, Upper Austria, Austria","Take your next career step at B&R – a member of the ABB Group – with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future.

At B&R – a member of the ABB Group, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations.

Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

Join the automation team at B&R- a member of the ABB Group.

Are you a motivated and collaborative DevOps engineer who is fascinated by technology trends and has a quality-focused and strategic approach to problem-solving? Do you possess excellent interpersonal skills and have experience in CI/CD pipeline creation, containerization, or cloud deployments? If yes, we would like to hear from you!

Your responsibilities
Designing, developing, and maintaining software build, release, and deploy processes, infrastructure, and associated tools.
Creating and managing CI/CD pipelines.
Troubleshooting and resolving production issues.
Collaborating with testing architects and engineers to integrate test cases into the automation toolchains.
Working with multiple product teams across the organization for deploying state-of-the-art development infrastructure and tools.
Contributing to the continuous improvement of the DevOps practices.
Your background
Bachelor's degree in Computer Science, Engineering, or a related field.
2+ years of experience in a DevOps team or a role with a strong focus on continuous automation in application development and operations of digital services.
Ability to work independently and as part of a team in a fast-paced and dynamic environment.
Passion for learning and keeping up to date with the latest trends and technologies in DevOps.
Strong communication and interpersonal skills.
More about us

At B&R – a member of the ABB Group, you can expect an exciting and challenging job with an individually tailored introductory training. You will work in agile teams where you have the opportunity to actively contribute and drive ideas forward. Our flexible work models (e.g. flextime, hybrid) offer you an optimal work-life balance.

Our unique B&R spirit is characterized by appreciation, communication at eye level and an informal work culture. We offer you customized training and development programs as well as exciting development opportunities within the company. Numerous other B&R benefits (Parental Leave Program, Employee Assistance Program and many more) round off our offer.

In order to comply with legal regulations, we refer to the minimum salary of the collective agreement of the electrical and electronics industry of € 3.409,59 gross/month. There is a clear willingness to overpay, depending on qualifications and experience.

ABB's Machine Automation Division, also known to our customers as B&R, is an innovative automation company headquartered in Austria with additional offices around the world. B&R became part of ABB's Robotics & Discrete Automation division in 2017 and, together with the ABB Robotics division, employs more than 11,000 people at over 100 locations in more than 53 countries.

As a leading global provider of automation solutions, B&R develops, produces and sells industrial electronics, software solutions and mechatronic solutions as well as technologies for machine and factory automation. Since 2020, B&R's automation portfolio has also included Codian brand delta robots. With its innovative solutions, B&R sets new standards and consistently exceeds its customers' expectations.

We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com.

ABB Data Privacy Statement:

https://new.abb.com/privacy-notice/candidate


86971557
Show less
Seniority level
Not Applicable
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Appliances, Electrical, and Electronics Manufacturing
Referrals increase your chances of interviewing at ABB by 2x
See who you know",25, Austria,Eggelsberg,Engineer,0,0,0,0,0,0,0,0,0,0,0,0,2,3409.0,monat,40908.0
Solution Engineer - Reporting,"Vienna, Austria","Wir wachsen! Deshalb suchen wir für unser Büro am Wiener Hauptbahnhof KollegInnen, die sich in unserem Produktionsteam persönlich und fachlich weiterentwickeln wollen. Wir liefern Berichtswesen auf Knopfdruck. Somit gehört die Erstellung von maßgeschneiderten Berichten für unsere Kunden zu Deinen Hauptaufgaben. Die Konfiguration des Moduls gestaltet sich für jeden Kunden neu und lebt vor allem von Deiner schnellen Auffassungsgabe sowie Deinem lösungs- und prozessorientierten Denken.

Bist Du ein Ass im Umgang mit SQL und hast Du Interesse an verschiedenen BI-Tools wie z.B. MS Reporting Services oder Power-BI? Bist Du an Herausforderungen interessiert, die individuelle Lösungsansätze benötigen? Dann werde Teil unseres Teams!

Das erwartet Dich
Konzeption und Umsetzung aller erforderlichen Berichtsinhalte gemeinsam mit unseren Kunden
Tools und Techniken zur kreativen Lösung unterschiedlichster Problemstellungen
Vermittlung von betriebswirtschaftlichen Zusammenhängen, die tagtäglich den Fortbestand von Unternehmen sichern

Für diese Stelle bieten wir ein Mindestjahresgehalt von EUR 49.000 brutto. Entsprechend Deiner Erfahrung und Qualifikation besteht die Bereitschaft zur Überzahlung.

Das bringst Du mit
Du hast eine abgeschlossene, technische Ausbildung oder einen Studienabschluss im Bereich Informatik, Wirtschaftsinformatik o.Ä.
Du hast mindestens zwei Jahre einschlägige Berufserfahrung
Du besitzt fortgeschrittene SQL-Kenntnisse (MS SQL Server) und bewegst dich routiniert durch relationale Datenbanken
Jemanden mit sehr gutem Verständnis für komplexe Datenstrukturen und Prozessabläufe
Du hast Erfahrung im Umgang mit Webapplikationen, Kenntnissen in Skriptsprachen (z.B. JavaScript, Powershell, …) und speziellen Datenformaten (JSON, XML)
Jemanden, der bereits mit Azure Cloud Anwendungen und der Infrastruktur gearbeitet hat - oder Interesse am Umgang und der Erlernung hat
Du bringst ausgezeichnete Deutschkenntnisse und gute Englischkenntnisse mit
Eine schnelle Auffassungsgabe, lösungsorientiertes Denken sowie eigenständiges und strukturiertes Arbeiten mit hoher Selbstorganisation gehören zu Deinen Eigenschaften

Vorteile
Flexible Arbeitsmodelle: wie Home-Office, Sabbatical und vieles mehr
Fachliche und persönliche Weiterbildung
Stetiger Knowhow-Transfer und Erfahrung mit neuen Technologien
Unbefristete Beschäftigung in einer aufstrebenden Firma mit internationalen Kunden
Platz für Eigeninitiative und Kreativität
Lunch benefit
Öffi-Ticket
Auswahl an Getränken, frischem Obst und Snacks
Ein modernes Büro
Firmen- und Team-Events


Wir haben Dein Interesse geweckt? Dann lass uns Deine aussagekräftigen Bewerbungsunterlagen zukommen!
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Financial Services and IT Services and IT Consulting
Referrals increase your chances of interviewing at Nomentia by 2x
See who you know",25, Austria,Vienna,Engineer,1,0,0,0,0,0,0,1,0,0,0,0,6,49000.0,jahr,49000.0
Data Engineer (m/w/d),"Wels, Upper Austria, Austria","Zurück

Data Engineer (m/w/d)

Ihr Aufgabenbereich

Erstellung und Pflege einer optimalen Datenpipeline-Architektur
Zusammenstellung großer, komplexer Datensätze, die funktionale/nichtfunktionale Geschäftsanforderungen erfüllen
Identifikation, Konzeption und Umsetzung interner Prozessverbesserungen z.B. Automatisierung manueller Prozesse, Optimierung der Datenbereitstellung, (Neu-)Konzeption der Infrastruktur für größere Skalierbarkeit,...
Entwicklung von Analysetools, um verwertbare Einblicke in wichtige Leistungskennzahlen des Unternehmens zu liefern
Enge Zusammenarbeit mit internen Stakeholdern sowie externen Daten- und Analyseexperten

So überzeugen Sie uns

Abgeschlossene IT Ausbildung (Uni/FH) oder vergleichbare Berufserfahrung mit dem Schwerpunkt Data Science, AI, Machine Learning, Informatik, Wirtschaftsinformatik oder vergleichbare Ausbildung
Einschlägige Berufserfahrung in einer vergleichbaren Rolle als Data Engineer
Fundierte SQL-Kenntnisse und Erfahrung im Umgang mit relationalen Datenbanken
Ausgeprägte analytische Fähigkeiten in Bezug auf die Arbeit mit unstrukturierten Datensätzen
Erfahrung in der Unterstützung und Zusammenarbeit mit funktionsübergreifenden Teams in einem dynamischen Umfeld von Vorteil

Wir bieten Ihnen

Spannende und komplexe internationale IT-Projekte in einem Expertenteam
Großen Gestaltungsspielraum, flache Hierarchien und kurze Entscheidungswege
Die Mitarbeit in einem international erfolgreichen und dynamischen Familienunternehmen mit starkem Teamspirit
On Top einen freiwilligen Fahrtkostenzuschuss, Kantine, Fitnessraum, Home Office, flexible Arbeitszeitmodelle und Events wie Skitag, Feiern, sowie gute Verkehrsanbindung uvm.
Ein Bruttomonatsgehalt ab € 4.000,00 (Vollzeit) je nach Qualifikation und Erfahrung, plus attraktive Weiterbildungsmöglichkeiten (z.B. TEUFELBERGER Academy, SAP Weiterbildungen,…)

Haben wir dein Interesse geweckt? Dann klicke auf „JETZT ONLINE BEWERBEN“ und fülle das Online-Bewerbungsformular aus. Nachdem du deine Bewerbung abgesendet hast, erhältst du eine Bestätigung per E-Mail. Für Fragen steht dir Christian Nörpel unter +43 7242 413 gerne zur Verfügung. Wir freuen uns auf deine Bewerbung!

Jetzt Online bewerben

Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Manufacturing
Referrals increase your chances of interviewing at TEUFELBERGER Group by 2x
See who you know",32, Austria,Wels,Engineer,1,0,0,0,0,0,0,1,0,0,0,0,7,4000.0,monat,48000.0
DevOps Engineer - m/f/d,"Vienna, Austria","Direct message the job poster from SQUARS
Ivona Piplica-Parac
Ivona Piplica-Parac
HR Manager
We are looking for a DevOps Engineer to support our development team in the production and development of our software. You will work closely with our computer vision and system engineers and take care of their CI/CD related needs. As a DevOps Engineer you maintain and optimize the existing infrastructure and extend our system with your expertise and ensure smooth development and deployment.

Your responsibilities:
Automate and improve development and release processes
Building and implementing new development tools and infrastructure
Understanding the needs of stakeholders and conveying them to developers
Ensuring that systems are safe and secure against cybersecurity threats
Identifying technical problems and developing software updates and fixes
Maintenance and development of helper tools for engineers

Your profile:
BSc or MSc,degree in Computer Science or related fields
Great communication skills
Fluent English
Basic understanding of Computer Vision, Augmented Reality, and Virtual Reality
Knowledge about cross-platform development
Experience with build pipeline configuration and maintenance

Your background:

CI/CD experience using Teamcity (or Jenkins) with GITHUB
Experience with build tools, such as CMake, GNU Make, Visual Studio, and Xcode
Docker and Docker-compose
Experience in developing and debugging modern C++ & Python
Hardware automation, e.g. regression tests on mobile devices
Experience with software deployment

What we offer
Our offer starts at 60.000 EUR gross annually. The actual offer will of course be adapted to your experience and seniority level.
Wiener Linien annual ticket
Vouchers for birthdays and winter holidays
Flat corporate structure, home office, and international team
Full time flexible working hours - 38,5h/w and NO All-in, because work-life balance is important to us
Plenty of snacks
Modern office in Austria Campus (Praterstern station) with excellent public transportation connections


Sounds interesting? Our HR Manager Ivona is looking forward to your application at recruiting_eu@virnect.com.

SQUARS is an in-house developed, fully web-based AR creation software. By providing the tools to create and share immersive experiences, we strive to bring value to businesses and end-users alike. Our mission is to become THE go-to WebAR platform for the educational sector, cultural establishments, agencies, and organizations working in the advertising sector.
SQUARS is part of the Korea-based industrial XR solutions company VIRNECT.

Virnect Co Ltd VIRNECT originated in South Korea, where we worked with organizations such as LG, Samsung, and Hyundai Steel. Now, we are helping industries and organizations worldwide to embrace the power of digital manufacturing and XR.

Learn more and connect with us:
SQUARS
https://squars.io/
https://hub.squars.io/squars-awexr
https://www.linkedin.com/company/squars/
https://blog.squars.io/

VIRNECT
https://www.virnect.io/
https://www.linkedin.com/company/virnect/mycompany/
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Engineering, Information Technology, and Management
Industries
Software Development and IT Services and IT Consulting
Referrals increase your chances of interviewing at SQUARS by 2x
See who you know",55, Austria,Vienna,Engineer,0,1,0,0,0,0,0,0,0,0,0,0,8,60000.0,jahr,60000.0
Software Test Engineer (m/f/x),"Vienna, Vienna, Austria","BOC Group entwickelt Softwareprodukte und Services für eine effektive und umfassende Unternehmensführung in Zeiten der digitalen Transformation. Unsere Produkte ADONIS (Prozessmanagement), ADOIT (Enterprise Architecture Management) und ADOGRC (Governance, Risk & Compliance) schaffen Transparenz in den jeweiligen Domänen und bieten Unternehmen solide Entscheidungsunterstützung.

Ihre Rolle


Qualitätssicherung der Softwareentwicklung von der Anforderungsdefinition bis zur Inbetriebnahme

Gestalten und Verbessern der Prozesse im Bereich der Qualitätssicherung

Aufbau und Weiterentwicklung der Testautomatisierung

Ihre Qualifikation


Erste Berufserfahrung im manuellen Testen sowie eine abgeschlossene Ausbildung im IT-Bereich

Erste Erfahrungen mit Continuous Integration & Deployment sind von Vorteil

ISTQB – Zertifizierung wünschenswert

Hohes Qualitätsbewusstsein sowie ruhige, strukturierte und sorgfältige Arbeitsweise

Ausgeprägte Kommunikationsfähigkeit sowie ein hohes Maß an Teamfähigkeit

Gute Deutsch- und gute Englisch-Kenntnisse in Wort und Schrift

Uns zeichnet aus


Spannende Testthemen mit dem Schwerpunkt Continuous Integration & Continous Deployment in der

Web- und Cloud-Entwicklung

Selbstständiges Arbeiten mit einem hohen Maß an Eigenverantwortung

Einsatz von neuesten Technologien im Bereich Web sowie laufende IT-Weiterbildung on-the-job

Angenehmes Betriebsklima in einem innovativen und kommunikativen Team

Zentrales Büro in der Operngasse (nahe U-Bahn Karlsplatz)

Sehr flexible Arbeitszeiten

Werden Sie Teil der BOC Group!

Wir sind ein internationales Unternehmen mit über 250 Mitarbeiterinnen und Mitarbeitern aus 38 unterschiedlichen Nationen. Bei uns ist Internationalität und Diversität ein fixer Bestandteil der Kultur. Das spiegelt sich in der Zusammenarbeit im Team sowie bei den kreativen und innovativen Lösungen für unsere Kunden wider. Wir begegnen uns mit Respekt und stets auf Augenhöhe. Wir haben flache Hierarchien und jede Kollegin und jeder Kollege hat die Möglichkeit den Unternehmenserfolg mitzugestalten und gemeinsam mit uns zu wachsen!

Für diese Position wird ein Gehalt ab 2.800 EURO brutto / Monat bei einer Vollzeitbeschäftigung geboten. Das tatsächliche Gehalt ist abhängig von Qualifikation und Berufserfahrung.

Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
IT Services and IT Consulting
Referrals increase your chances of interviewing at BOC Group by 2x
See who you know",36, Austria,Vienna,Engineer,0,0,0,0,0,0,0,0,0,0,0,0,9,2800.0,monat,33600.0
"Lead Data Scientist/Lead Machine Learning Engineer (Bangkok based, relocation provided)","Vienna, Vienna, Austria","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

We are looking for ambitious and agile data scientists that would like to seize the opportunity to work on some of the most challenging productive machine learning and big data platforms worldwide, processing some 600B events every day and making some 5B predictions.

As part of the Data Science and Machine Learning (AI/ML) team you will be exposed to real-world challenges such as: dynamic pricing, predicting customer intents in real time, ranking search results to maximize lifetime value, classifying and deep learning content and personalization signals from unstructured data such as images and text, making personalized recommendations, innovating algorithm-supported promotions and products for supply partners, discovering insights from big data, and innovating the user experience. To tackle these challenges, you will have the opportunity to work on one of the world’s largest ML infrastructure employing dozens of GPUs working in parallel, 30K+ CPU cores and 150TB of memory.

In This Role, You’ll Get to

Design, code, experiment and implement models and algorithms to maximize customer experience, supply side value, business outcomes, and infrastructure readiness
Mine a big data of hundreds of millions of customers and more than 600M daily user generated events, supplier and pricing data, and discover actionable insights to drive improvements and innovation
Work with developers and a variety of business owners to deliver daily results with the best quality
Research discover and harness new ideas that can make a difference

What You’ll Need To Succeed

4+ years hands-on data science experience
Excellent understanding of AI/ML/DL and Statistics, as well as coding proficiency using related open source libraries and frameworks
Significant proficiency in SQL and languages like Python, PySpark and/or Scala
Can lead, work independently as well as play a key role in a team
Good communication and interpersonal skills for working in a multicultural work environment

It’s Great if You Have

PhD or MSc in Computer Science / Operations Research / Statistics or other quantitative fields
Experience in NLP, image processing and/or recommendation systems
Hands on experience in data engineering, working with big data framework like Spark/Hadoop
Experience in data science for e-commerce and/or OTA

We welcome both local and international applications for this role. Full visa sponsorship and relocation assistance available for eligible candidates.

#sanfrancisco #newyork #seattle #boston #washdc #sydney #melbourne #perth #paris #london #tokyo #dhaka #vienna #edinburgh #manchester #amsterdam #munich #berlin #toronto #vancouver #moscow #dublin #seoul #hcmc #singapore #ENG #IT #4

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.

Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Technology, Information and Internet
Referrals increase your chances of interviewing at Agoda by 2x
See who you know",25, Austria,Vienna,Data Scientist,1,1,1,0,0,0,1,1,0,0,0,0,10,30000.0,jahr,30000.0
(Senior) DevOps Engineer (m/f/x) - JÖ IT,"Vienna, Vienna, Austria","Direct message the job poster from REWE International AG
Zuzana Minarčíková
Zuzana Minarčíková
Technical and IT Sourcer Expert @ REWE International AG
Operating highload services and optimizing multi-cloud and on-premise solutions
Building new and improving existing infrastructure in the cloud
Implementing state of the art continuous deployment strategies

Qualifications

2+ years of DevOps experience
Good knowledge of Linux, we will be happy to hear about your favorite distro
CI/CD automation experience
Ideal to have experience with Kubernetes and service mesh in the cloud
Knowledge of IaC tools – Terraform, Ansible or similar
Experience with alerting and monitoring solutions such as Grafana and/or Kibana
SRE, SLI and SLO is something you are passionate about
Business fluent English (German is a plus)

Additional Information

Working in a team with flat hierarchy, where every voice is heard and appreciated
Flexible working hours and home office for a perfect work-life balance
Individual and corporate training programs, Udemy access
A food allowance for cheap and healthy lunch breaks
Employee shopping and travel discounts
An extensive range of measures to promote health in the workplace
A family-friendly corporate culture with a varied range of educational, play and daycare opportunities for employees’ children
An annual gross salary from € 50,000 on a full-time basis (the actual salary will be based on qualification and prior employment times)
As we focus on diversity, we are also looking forward to receiving applications from people with disabilities.

No matter where you are in your career, we have a path for you. Whether you’re looking for your first job, advancement in your field, or a new career shift. We’re proud to employ great people who are passionate about their jobs. But they’re all different. No matter who you are, what you need and where you’re going, REWE Group can be a part of it. Apply now!

Please upload your resume to give us insight of your work experience - anonymously if you like!

We promote a diverse and inclusive work environment. Therefore, we welcome applications from people of different gender, age, cultural or social background, sexual identity and applications from people with disabilities.In addition, we would like to increase the proportion of women in technical professions and are particularly pleased to receive applications from women for this position.

Show less
Seniority level
Associate
Employment type
Full-time
Job function
Information Technology
Industries
Retail
Referrals increase your chances of interviewing at REWE International AG by 2x
See who you know",50, Austria,Vienna,Engineer,0,0,0,0,0,0,0,0,0,0,1,0,11,50000.0,jahr,50000.0
Android Engineer - up to 88k€ + bonus,"Vienna, Austria","Direct message the job poster from VIPASO – Vienna Payment Solutions
Alex Marksfeld
Lead Software Engineer at Vipaso
Salary range - 65k€ - 88k€. 
This is a hybrid role with being at least 1 day/week in the Vienna office.

Vipaso is fostering financial inclusion to boost prosperity globally. 
 We are currently working on:  
Design and implementation of whitelabeled apps and SDK’s. 
Developing features such as offline payments through Bluetooth. 
How do we work: 
Everyone from the leadership team was a software engineer at some point of their careers, so there is an understanding for what tech debt is and how important it is to repay it. 
We are a team of 7 engineers. 
DevOps is culture for us. We own things end-to-end (product design, system design, coding, testing, production release). 
We deploy our code to production frequently via CI/CD, measure lead time and release frequency.  
Having lunch & learn sessions where we share knowledge. 
Every engineer shapes the roadmap and product. 
Track work in Jira, document it in Confluence. 
A great software engineer should have:  
Experience as mobile engineer on technically challenging projects.  
Strong intuition for problem solving and process improvement.  
Ability to clearly and concisely communicate your thought process.  
Deep understanding of approaches to testing.  
Very good knowledge of English.  
Our tech stack: 
Swift and Kotlin.  
Bluetooth Low Energy protocol. 
Gitlab CI. 
Perks:  
Flat hierarchies and short decision-making paths.  
Possibility to work on backend. Our backend colleagues will make it easier for you to learn backend development if you want. Btw, it’s in Kotlin. 
Our hiring process: 
Introduction call with hiring manager (45mins). 
Live coding interview (60mins). 
Call with our CEO (30mins). 
Offer.  
We are fast in the hiring process – usually it takes 5 business days to get an offer after having a first call. 
Show less
Employment type
Full-time
Referrals increase your chances of interviewing at VIPASO – Vienna Payment Solutions by 2x
See who you know",82, Austria,Vienna,Engineer,0,0,0,0,0,0,0,0,0,0,0,0,12,65000.0,jahr,65000.0
Senior DevOps Engineer (Azure),"Vienna, Vienna, Austria","Direct message the job poster from Tricentis
Ralitza Tabakova
Ralitza Tabakova
R&D Recruitment Partner EMEA at Tricentis
Tricentis is looking for an experienced, highly motivated Senior DevOps Engineer, to support our product delivery and deployment initiatives.

You will be part of the Tricentis Engineering organization and work closely with all functional teams involved with producing our software products.

Responsibilities

Evolve CI/CD pipelines to an enterprise level
Apply CD methodology to a mixed environment (Cloud/on premise)
Handle our virtual and database infrastructure
Understand continuous testing as an indispensable part of the pipeline
Enable a growing number of global agile teams to deliver continuously
Collaborate cross-functionally with different functional teams
Overall, you will help us improve and mature our delivery processes and the underlying tooling helping drive higher levels of efficiencies, cost savings and joy throughout our product development and delivery processes.

Minimum Qualifications

Technical education and a profound technical background (e.g., BS in Computer Science or an equivalent degree)
Hands-on experience with CI Infrastructure (e.g., Jenkins, Team City)
Proficiency with code revision tools (subversion, git)
Experience working with modern cloud technologies from AWS, Azure and GCP.
Experience deploying modern container-based applications and their associated tooling including Docker, K8’s, Helm.
Working knowledge of CI/CD based product development and delivery pipelines
Aptitude for problem-solving, quality consciousness and achieving innovative results
Experience with Terraform or Pulumi and ARM or Bicep

Preferred Qualifications

Working knowledge of Software Development Lifecycle
Knowledge of traditional agile methodologies, including Scrum and Kanban
Good understanding of application infrastructure, system architecture, and operating systems
Developer background preferred
Experience with Azure DevOps
Experience with MSI, WIX
NET / Java / PowerShell skills
Configuration management (ansible/chef/puppet)
Outstanding problem-solving and analytics skills

Tricentis Core Values

Knowing what we need to achieve and how to achieve it is important. Tricentis core values define our ways of working and the behaviors we model that create an enjoyable and successful Tricentis life.

Demonstrate Self-Awareness: Own your strengths and limitations.
Finish What We Start: Do what we say we are going to do.
Move Fast: Create momentum and efficiency.
Run Towards Change: Challenge the status quo.
Serve Our Customers & Communities: Create a positive experience with each interaction.
Solve Problems Together: We win or lose as one team.
Think Big & Believe: Set extraordinary goals and believe you can achieve them.

We Offer

What You Can Look Forward To

Full-time permanent job (open-ended contract)
Informal and open start-up culture
A team of passionate professionals who are experts in their fields.
Hybrid work environment (no core hours) and home-office allowance
25 days of holidays
4 days of paid Volunteering Leave per year to get involved in your local community or in a cause that matters to you.
Employee Engagement/Wellbeing – recognition of excellence across all functions and levels; regular opportunities to celebrate and socialize (parties, sport events, BBQs) and much more.
We follow a hybrid model of working as it gives our employees a perfect blend of flexibility and space for creative collaboration.

A minimum annual package from 63 897 EUR is planned for this position.

This is a rare and highly sought-after opportunity to be part of a highly talented technical support team within Tricentis. If you are interested in the opportunity to become a member of Tricentis where your ideas count, apply now for immediate consideration.

About Tricentis

Tricentis is a software company officially founded in 2007, with primary focus on software quality assurance. Whether exploratory or automated, functional or performance, API or UI, as well as mainframes or custom applications or packaged applications, or cloud-native applications - our comprehensive suite of specialized Continuous Testing tools makes DevOps real by giving our clients the confidence to release on demand.

Tricentis has more than 1500 employees working in across over 20 global offices in US, EMEA, APAC serving over 2100 customers, and currently expanding our R&D centers to two new locations in the Czech Republic – Prague and Brno - Hybrid office environment.

Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Software Development
Referrals increase your chances of interviewing at Tricentis by 2x
See who you know",26, Austria,Vienna,Engineer,0,0,0,0,0,0,0,0,0,0,1,0,13,63897.0,jahr,63897.0
Site Reliability Engineer (m/f/x),"Klagenfurt, Carinthia, Austria","As a Site Reliability Engineer on our Digital Marketing team, you will wield your expertise to ensure that Dynatrace’s digital marketing properties are built on reliable, scalable, resilient, and secure infrastructure. In this role you will be all-in on tactics, managing, maintaining, monitoring, and supporting the day-to-day operations and anticipating our future infrastructure needs while designing and implementing elegant solutions that meet them.

Job Description

Administer and manage SaaS applications.
Leverage the Dynatrace platform to analyze infrastructure issues, identify root causes, and implement best practices to prevent recurrence.
Use your insights into production to translate manual tasks into automated processes.
Work with software architects and developers to design and implement cloud solutions.
Maintain appropriate controls and documentation to support compliance initiatives.
Drive innovation through the ongoing evaluation, design, and implementation of new technology.

Qualifications

Bachelor’s degree in Computer Science or equivalent industry experience
Hands-on experience in SRE practices, building, managing, and operating distributed systems
2+ years of experience with at least one Hyperscaler (AWS, Azure, or GCP)
A deep understanding of CI/CD technologies such as Jenkins
Good understanding of security principles and design
In-depth knowledge of containerization using Kubernetes & Docker
Proficient in infrastructure as code
Agile development process knowledge/experience
Exceptional communication and interpersonal skills with an ability to extract, translate, and communicate meaningful information with management and peers

Additional Information

What's in it for you?

A one-product software company creating real value for the largest enterprises and millions of end customers globally, striving for a world where software works perfectly.
Working with the latest technologies and at the forefront of innovation in tech on scale; but also, in other areas like marketing, design, or research.
Working models that offer you the flexibility you need, ranging from full remote options to hybrid ones combining home and in-office work.
A team that thinks outside the box, welcomes unconventional ideas, and pushes boundaries.
An environment that fosters innovation, enables creative collaboration, and allows you to grow.
A globally unique and tailor-made career development program recognizing your potential, promoting your strengths, and supporting you in achieving your career goals.
A truly international mindset that is being shaped by the diverse personalities, expertise, and backgrounds of our global team.
A relocation team that is eager to help you start your journey to a new country, always there to support and by your side.
Attractive compensation packages and stock purchase options with numerous benefits and advantages.

Due to legal reasons, we are obliged to disclose the minimum salary for this position, which is EUR 50,000 gross per year based on full-time employment (38.5 h/week). We offer a higher salary in line with qualifications and experience.

Dynatracers come from different countries and cultures all over the world, speaking various languages. English is the one that connects us (55+ nationalities). If you are not living in the country you are applying for and could not find a suitable remote option, we offer you a relocation allowance and support with your visa, work permit, accommodation, language courses, as well as a dedicated buddy program.

Discover more perks & benefits

Growth opportunities - find out how Dynatrace supports your career development and personal growth journey: https://careers.dynatrace.com/grow-with-us/career-development/

Flexible working - our flexible and trusting work environment fits your current life situation: https://careers.dynatrace.com/ways-of-work/

Relocation Support - discover how we can support you if you wish to join us at one of our global locations: https://careers.dynatrace.com/relocation/
Please review the Dynatrace privacy policy here: https://www.dynatrace.com/company/trust-center/policies/recruitment-privacy-notice
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Software Development
Referrals increase your chances of interviewing at Dynatrace by 2x
See who you know",25, Austria,Klagenfurt,Engineer,0,0,0,0,0,0,0,0,0,0,0,1,15,50000.0,jahr,50000.0
