job_title,city,country,annual_salary
IT Data Analyst (m/w/d) marktführendes Logistik-Unternehmen,Wien,Austria,50500
Data Analyst (w/m/x),Wien,Austria,70000
Data Analyst (w/m/x),Wien,Austria,70000
Berufspraktikum mit Schwerpunkt Data Analytics im Bereich Global Human Resources (w/m/d),Wien,Austria,26754
Data Analytics Specialist (m/w/x),Wien,Austria,40000
Internal Audit Data Analyst:in,Wien,Austria,54751
Data Analyst & Report Developer - Supply Chain Finance Solution (all genders),Wien,Austria,45811
Data Analytics Trainee (w/m/d),Wien,Austria,46000
Senior eCommerce Data Analyst & Product Owner (f/m/d),Wien,Austria,63000
Business Analyst (m/w/x) I Customer Data & Gdpr,Wien,Austria,60000
BI Analyst/Data Scientist für Produkt & Marketing (m/w/d),Wien,Austria,52136
Internship Data Science - Compliance Advanced Analytics (all genders),Wien,Austria,40685
(Senior) Consultant im Bereich SAP Data & Analytics,Wien,Austria,60000
Mitarbeiter*in für Förderprozesse & Datenanalyse (all genders),Wien,Austria,45000
Support Engineer (w/m/d) – Datenanalyse & Cloudlösungen,Wien,Austria,42000
Business Intelligence Analyst (w/m/d),Wien,Austria,55300
Mitarbeiter:in (all genders) für unser Risk & Independence Team,Wien,Austria,34860
ERP Business Analyst (m/w/d),Wien,Austria,50000
Student Support im Bereich Kreditrisikomodelle und Automatisierung (w/m/d),Wien,Austria,35494
Consulting für PhysikerIn und MathematikerIn (m/w/d),Wien,Austria,42980
Senior Account Analyst (m/w/d),Wien,Austria,75000
Analyst - Analytics and Consulting (m/w/d),Wien,Austria,50000
Leiter:in Sektorsteuerung,Wien,Austria,73225
KI-Governance-Spezialist (w/m/d),Wien,Austria,48323
Digital Tranformation Manager (m/w/d),Wien,Austria,55000
Front-End Developer (m/f/d),Wien,Austria,54728
Pricing Actuary (all genders) Non-Life Insurance,Wien,Austria,45482
Senior Auditor (w/m/d),Wien,Austria,75000
Business Analyst & Strategic Project Manager,Wien,Austria,45410
Business Intelligence Specialist (f/m/n),Wien,Austria,keine Angabe
Senior Frontend Developer (w/m/x),Wien,Austria,56000
Junior Specialist Collateral Management *,Wien,Austria,45811
Werkstudenten/in KI (m/f/d),Wien,Austria,32886
Expert:in im Bereich Compliance / Independence (w/m/d),Wien,Austria,46000
Manager:in Financial Services Regulatory & Compliance,Wien,Austria,48997
Sales Manager:in Data & AI und Microsoft D365 ERP (m/w/d),Wien,Austria,80000
Security Analyst - Tier 2 (all humans),Wien,Austria,53802
Expert:in Zielgruppenmanagement  für Privatkunden (w/m/d),Wien,Austria,55000
Expert:in Zielgruppenmanagement KMU (w/m/d),Wien,Austria,55000
IT Security Specialist (m/f/d),Wien,Austria,keine Angabe
Requirements Engineer/Business Analyst (d/m/w),Wien,Austria,55300
Praktikum in der Abteilung Regulatory Reporting (w/m/d),Wien,Austria,35494
Partner & Portfolio Manager Specialty Crops (f/m/d),Wien,Austria,84000
SEA/Performance Marketing Manager (m/w/d),Wien,Austria,46300
Product Manager (m/f/d) Clinical,Wien,Austria,54000
AI Adoption Specialist (f/m/d),Wien,Austria,49250
Einkaufs- und Kostenmanagement (m/w/d),Wien,Austria,65000
Revisor:in im Finanzbereich mit Fokus IT (m/w/d),Wien,Austria,56000
Senior Data Scientist (all genders),Wien,Austria,55177
Compensation & Benefits Business Partner (m/w/d),Wien,Austria,70000
Player Protection Analyst (f/m/d),Wien,Austria,44420
Product Owner (m/f/d) U Composer,Wien,Austria,54000
Datenschutzbeauftragter (DPO) (m/w/d),Wien,Austria,60000
(Senior) Information Security Officer (all genders),Wien,Austria,50000
Corporate IT Project Manager (m/f/d),Wien,Austria,59782
"(Senior) Associate (w/m/d) Accounting & Capital Markets, Industrial Services",Wien,Austria,42000
Group Controller with HR Focus (f/m/d),Wien,Austria,57500
Product Owner (m/f/d) Clinical Content,Wien,Austria,54000
