job_title,city,country,annual_salary
Business Analyst (d/m/w) – Banking | Data Analytics Personalisierung,Berlin,Germany,75000
Senior Data Scientist / Senior AI Engineer (mwd),Berlin,Germany,83000
Business Analyst (d/m/w) – Data Analytics | Firmenkunden,Berlin,Germany,70000
Data Scientist Konditionsgestaltung (m/w/d),Berlin,Germany,82000
Data Scientist (m/w/d) für Technologietrends und Datenstrategie,Berlin,Germany,72000
Senior Data Scientist - Product Analytics,Berlin,Germany,67000
Senior Marketing Data Analyst,Berlin,Germany,54000
Data Migration Consultant (f/m/d) SAP S/4HANA Utilities,Berlin,Germany,66000
Physiker/ Mathematiker/ Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),Berlin,Germany,71300
Senior Data Analyst (m/f/d),Berlin,Germany,85000
Leitung Business Intelligence (m/w/d),Berlin,Germany,126000
Working Student Data Analyst (f/x/m),Berlin,Germany,keine Angabe
Climate Data Analyst (f/m/d) at Climate Analytics,Berlin,Germany,55000
Senior Data Strategist (m/w/d),Berlin,Germany,75000
Praktikant:in Data Analyst (m/w/d),Berlin,Germany,keine Angabe
IT Architect (m/f/d) - With focus on Data Management and Data Quality,Berlin,Germany,81000
Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,Berlin,Germany,keine Angabe
Mitarbeiter Datenanalyse im HomeOffice (m/w/d),Berlin,Germany,51000
Business Analyst (w/m/d) – Netzleitsystem der Zukunft,Berlin,Germany,70000
Statistiken der EKD,Berlin,Germany,58000
Werkstudent:in als Marketing Data Analyst (m/w/d),Berlin,Germany,keine Angabe
Statistiken der EKD,Berlin,Germany,60000
Senior Marketing Data Scientist (m/w/d),Berlin,Germany,63000
Principal Data Scientist,Berlin,Germany,63000
Sr. Data Engineering Consultant (m/f/d),Berlin,Germany,59000
Senior Data Scientist / Senior Analytics Engineer,Berlin,Germany,73000
"Senior Product Analyst (all genders) | Berlin, hybrid or remote",Berlin,Germany,72000
Data Allrounder Fokus GH App (m/w/d),Berlin,Germany,40000
Staff ML/AI Data Engineer,Berlin,Germany,62000
Cloud and DevOps Engineer (Kubernetes),Berlin,Germany,67000
Analytics Engineer (m/f/d),Berlin,Germany,65000
Senior Product Analyst (B2B) (m/f/d),Berlin,Germany,64000
Strategic Planning Associate,Berlin,Germany,49000
"Data Analysis, Manager",Berlin,Germany,63000
Senior Product Analyst (B2B) - 12 months contract (m/f/d),Berlin,Germany,keine Angabe
Senior Tech Marketing Manager (all genders),Berlin,Germany,keine Angabe
Business Analyst Baufinanzierung / Mortgage Focus (m/w/d),Berlin,Germany,keine Angabe
Senior Data Engineer,Berlin,Germany,70000
Teamlead Business Intelligence (m/w/d),Berlin,Germany,66000
(Senior) Sales Development Representative (w/m/d) - Packa,Berlin,Germany,58000
Business Analyst - ServiceNow Consulting (w/m/d),Berlin,Germany,keine Angabe
SAP Datasphere and Analytics Cloud Specialist (f/m/d),Berlin,Germany,keine Angabe
"(Junior) Consultant IT-Forensic, eDiscovery und Forensic Data Analytics (w/m/d)",Berlin,Germany,keine Angabe
IT Security Analyst (m/f/d),Berlin,Germany,50000
Research Analyst (m/w/d) im Feedbackmanagement,Berlin,Germany,64000
Referent (m/w/d) Datenanalyse,Berlin,Germany,60000
(Mid/Senior) Data Software Engineer (f/m/d),Berlin,Germany,82000
Data Engineer / Data Architect (m/f/x),Berlin,Germany,72000
Business Analyst für Provision & Vermittler (all genders),Berlin,Germany,72000
Business Analyst – Mortgage Focus (m/f/d),Berlin,Germany,72000
Software Test Analyst *,Berlin,Germany,53000
Key Account Manager - Data Product (w/m/d),Berlin,Germany,83000
Spezialist*in Datenmanagement (m/w/d) Recycling & Duale Systeme,Berlin,Germany,48000
Data Engineer* / Machine Learning Engineer*,Berlin,Germany,70000
Data Architect (m/w/d) (Digitization System Operation / Power Grid),Berlin,Germany,95000
Business Analyst - NetSuite / SuiteScript / ERP (m/w/d),Berlin,Germany,61000
IT Analyst / IT Consultant (w/m/d) Citizen Development,Berlin,Germany,70000
(Senior) Manager Business Intelligence & Data Management (w/m/d),Berlin,Germany,keine Angabe
Business Analyst - Projekt-Controlling und -Reporting Voll- o. Teilzeit (m/w/d),Berlin,Germany,72000
Senior Data Consultant (m/w/d) Transformationsberatung,Berlin,Germany,100000
Consultant (w/m/d) BI & Analytics (all levels),Berlin,Germany,103000
Business Analyst bAV (all genders),Berlin,Germany,79000
Financial Analyst Bereich Business Recovery (w/m/d),Berlin,Germany,74000
Senior Consultant SAP BW / SAP Analytics (m/w/d),Berlin,Germany,99000
Sales Manager für Data & Analytics (all gender),Berlin,Germany,73000
(Senior) Test Manager – Data Analytics & Management Platform (m/w/d),Berlin,Germany,77000
Business Intelligence Berater I Consultant (m/w/d),Berlin,Germany,66000
Senior Data Engineer (f/m/d),Berlin,Germany,87000
Senior Consultant Data Management (w/m/d),Berlin,Germany,keine Angabe
Senior Data Engineer (m/w/d) DWH,Berlin,Germany,84000
Senior SAP Analytics Consultant (all genders),Berlin,Germany,96000
Senior Consultant/Senior Business Analyst (w/m/d),Berlin,Germany,keine Angabe
Senior Functional Consultant SAP MDG (w/m/x),Berlin,Germany,85000
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,Berlin,Germany,keine Angabe
Impact Carbon Removal Analyst (Nature-based and CDR Projects) (f/d/m) at CEEZER,Berlin,Germany,59000
Industry Decarbonisation Analyst (f/m/d),Berlin,Germany,60000
Conversion Analyst (m/w/d),Berlin,Germany,56000
BUSINESS ANALYST,Berlin,Germany,54000
Business Analyst (w/m/d),Berlin,Germany,59000
GCP Data Architect,Berlin,Germany,68000
Business Analyst (m/w/d),Berlin,Germany,56000
Senior Account Executive - Dutch speaker (m/f/d),Berlin,Germany,60000
Mid/Senior Business Intelligence & Data Warehouse Engineer (w/m/d),Berlin,Germany,67000
(Senior) Manager - ServiceNow Consulting (w/m/d),Berlin,Germany,keine Angabe
Researcher Media Ownership Monitor Germany 2025,Berlin,Germany,keine Angabe
"Researcher, Political Influencer Landscape (Germany) Media Ownership Monitor Germany 2025",Berlin,Germany,44000
Client Success Manager B2B – German speaker,Berlin,Germany,52000
Senior Workday Specialist (Finance),Berlin,Germany,55000
Quant Trader (m/w/d),Berlin,Germany,61000
Business Development Manager - German Speaker (all genders welcome) in Berlin,Berlin,Germany,63000
(Senior) Data & Analytics Engineer,Berlin,Germany,69000
Business Analyst,Berlin,Germany,54000
Machine Learning Engineer,Berlin,Germany,63000
Machine Learning Engineer,Berlin,Germany,66000
Principal Machine Learning Engineer,Berlin,Germany,66000
Principal Machine Learning Engineer,Berlin,Germany,71000
Head of Business Intelligence,Berlin,Germany,85000
Analyst (m/w/d) Problemkredit Firmenkunden,Berlin,Germany,69000
Referent (m/w/d) Research und Analysen für die Sparkassen-Finanzgruppe,Berlin,Germany,68000
IT Security Analyst (m/w/d),Berlin,Germany,60000
Financial Analyst / Controller (w/m/d),Berlin,Germany,75000
Risikoanalyst:in Cybersicherheit (w/m/d),Berlin,Germany,85000
Analyst IT-Consulting (all genders),Berlin,Germany,78000
(Junior) Analyst Finanzkriminalität Bank (m/w/d),Berlin,Germany,48000
Data Scientist / AI Engineer (mwd),Berlin,Germany,77000
(Senior) IT Governance & Compliance Analyst (m/f/d),Berlin,Germany,65000
IT-Security Analyst (m/w/d) - Cyber Security Specialist (m/w/d),Berlin,Germany,83000
(Associate) Consultant (m/w/d) Data Driven Insurance,Berlin,Germany,75000
Security Analyst im Security Operations Center - Tier 2 (m/w/d),Berlin,Germany,60000
SAP Platform Specialist (w/m/d) Data Integration,Berlin,Germany,85000
Kreditanalyst (m/w/d) Problemkredit gewerbliche Immobilienfinanzierung und Firmenkunden,Berlin,Germany,67000
Lead Java Developer (w/m/d) Real Time Data,Berlin,Germany,95000
Cash-Management Analyst (m/w/d),Berlin,Germany,73000
Security Analyst im Security Operations Center - Tier 1 (m/w/d),Berlin,Germany,66000
Online Ads Data Evaluator in Germany (m/w/d),Berlin,Germany,keine Angabe
Consultant SAP Financial Services Data Platform (FSDP) (m/w/d),Berlin,Germany,72000
Accounting Analyst (m/w/d),Berlin,Germany,70000
Analyst (w/m/d) Mergers & Acquisitions (M&A),Berlin,Germany,63000
Data Management Officer (m/f/d),Berlin,Germany,69000
SAP Berater/Entwickler Datenmigration (m/w/d) – Architect SAP Data Migration,Berlin,Germany,150000
Analyst Anti-Financial-Crime EMEA Hub (m/w/d),Berlin,Germany,38532
"SAP Datasphere, BDC & SAC Berater (m/w/d) - SAP Consultant BW/4HANA",Berlin,Germany,120000
Data Engineer (f/m/x),Berlin,Germany,70000
Working Student HR Master Data & Reporting (m/f/d),Berlin,Germany,keine Angabe
Security Analyst 1st Level Security Operations Center (m/w/d),Berlin,Germany,79000
BI & Data Analyst – HR-Software (SaaS),Hamburg,Germany,80000
Market Analyst Sales (m/w/d),Hamburg,Germany,80000
"Technisch versierter BI Analyst (m/w/d) – Power BI, MS Fabric & Datenmodellierung",Hamburg,Germany,73000
(Senior) Business Analyst* Market Data & Vendor Management,Hamburg,Germany,88000
(Junior) Asset Manager*in Europa befristet bis 31.08.2026 (in Voll- oder Teilzeit),Hamburg,Germany,keine Angabe
(Junior) Business Analyst* Market Data & Vendor Management,Hamburg,Germany,75000
